MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
069:+0.142|+0.000|+0.109|+0.434|-0.000|+0.000|-0.306|+0.000|+0.000|+0.000|+0.000|+0.000|-0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
070:+0.466|+0.000|-0.197|+0.109|-0.000|+0.000|-0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
071:+0.772|+0.000|+0.109|-0.215|-0.000|+0.000|+0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
072:+0.448|+0.000|+0.433|+0.109|-0.000|+0.000|+0.324|+0.000|+0.000|+0.000|+0.000|+0.000|-0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
073:+0.124|+0.000|+0.109|+0.451|-0.000|+0.000|-0.324|+0.000|+0.000|+0.000|+0.000|+0.000|-0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
074:+0.467|+0.000|-0.215|+0.109|-0.000|+0.000|-0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
075:+0.791|+0.000|+0.109|-0.233|-0.000|+0.000|+0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
076:+0.449|+0.000|+0.451|+0.109|-0.000|+0.000|+0.342|+0.000|+0.000|+0.000|+0.000|+0.000|-0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
077:+0.107|+0.000|+0.109|+0.469|-0.000|+0.000|-0.342|+0.000|+0.000|+0.000|+0.000|+0.000|-0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
078:+0.467|+0.000|-0.233|+0.109|-0.000|+0.000|-0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
079:+0.809|+0.000|+0.109|-0.251|-0.000|+0.000|+0.342|+0.000|+0.000|+0.000|+0.000|+0.000|+0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
080:+0.449|+0.000|+0.469|+0.109|-0.000|+0.000|+0.360|+0.000|+0.000|+0.000|+0.000|+0.000|-0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
081:+0.089|+0.000|+0.109|+0.487|-0.000|+0.000|-0.360|+0.000|+0.000|+0.000|+0.000|+0.000|-0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
082:+0.468|+0.000|-0.251|+0.109|-0.000|+0.000|-0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
083:+0.828|+0.000|+0.109|-0.269|-0.000|+0.000|+0.360|+0.000|+0.000|+0.000|+0.000|+0.000|+0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
084:+0.450|+0.000|+0.487|+0.109|-0.000|+0.000|+0.378|+0.000|+0.000|+0.000|+0.000|+0.000|-0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
085:+0.072|+0.000|+0.109|+0.505|-0.000|+0.000|-0.378|+0.000|+0.000|+0.000|+0.000|+0.000|-0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
086:+0.468|+0.000|-0.269|+0.109|-0.000|+0.000|-0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
087:+0.846|+0.000|+0.109|-0.287|-0.000|+0.000|+0.378|+0.000|+0.000|+0.000|+0.000|+0.000|+0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
088:+0.450|+0.000|+0.505|+0.109|-0.000|+0.000|+0.396|+0.000|+0.000|+0.000|+0.000|+0.000|-0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
089:+0.054|+0.000|+0.108|+0.523|-0.000|+0.000|-0.396|+0.000|+0.000|+0.000|+0.000|+0.000|-0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
090:+0.468|+0.000|-0.288|+0.108|-0.000|+0.000|-0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
091:+0.864|+0.000|+0.108|-0.306|-0.000|+0.000|+0.396|+0.000|+0.000|+0.000|+0.000|+0.000|+0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
092:+0.450|+0.000|+0.522|+0.108|-0.000|+0.000|+0.414|+0.000|+0.000|+0.000|+0.000|+0.000|-0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
093:+0.037|+0.000|+0.108|+0.540|-0.000|+0.000|-0.414|+0.000|+0.000|+0.000|+0.000|+0.000|-0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
094:+0.469|+0.000|-0.306|+0.108|-0.000|+0.000|-0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
095:+0.883|+0.000|+0.108|-0.324|-0.000|+0.000|+0.414|+0.000|+0.000|+0.000|+0.000|+0.000|+0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
096:+0.451|+0.000|+0.540|+0.108|-0.000|+0.000|+0.432|+0.000|+0.000|+0.000|+0.000|+0.000|-0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
097:+0.019|+0.000|+0.108|+0.558|-0.000|+0.000|-0.432|+0.000|+0.000|+0.000|+0.000|+0.000|-0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
098:+0.469|+0.000|-0.324|+0.108|-0.000|+0.000|-0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
099:+0.901|+0.000|+0.108|-0.342|-0.000|+0.000|+0.432|+0.000|+0.000|+0.000|+0.000|+0.000|+0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
100:+0.451|+0.000|+0.558|+0.108|-0.000|+0.000|+0.450|+0.000|+0.000|+0.000|+0.000|+0.000|-0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
101:+0.001|+0.000|+0.108|+0.576|-0.000|+0.000|-0.450|+0.000|+0.000|+0.000|+0.000|+0.000|-0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
102:+0.469|+0.000|-0.342|+0.108|-0.000|+0.000|-0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
