H0|H0'|E|1|1_p1|1_p2|partial1|
121:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
122:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
123:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
124:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
125:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
126:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
127:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
128:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
129:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
130:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
131:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
132:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
133:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
134:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
135:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
136:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
137:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
138:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
139:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
140:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
141:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
142:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
143:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
144:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
145:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
146:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
147:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
148:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
149:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
150:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
151:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
152:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
153:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
154:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
155:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
156:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
157:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
158:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
159:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
160:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
161:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
162:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
163:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
164:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
165:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
166:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
167:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
168:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
169:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
170:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
171:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
172:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
