H0|H0'|E|1|1_p1|1_p2|partial1|
171:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
172:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
173:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
174:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
175:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
176:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
177:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
178:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
179:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
180:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
181:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
182:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
183:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
184:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
185:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
186:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
187:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
188:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
189:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
190:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
191:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
192:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
193:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
194:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
195:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
196:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
197:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
198:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
199:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
200:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
201:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
202:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
203:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
204:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
205:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
206:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
207:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
208:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
209:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
210:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
211:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
212:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
213:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
214:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
215:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
216:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
217:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
218:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
219:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
220:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
221:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
222:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
223:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
224:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
225:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
